SKU Code,Diamond Size(Round),Diamond Count(Round),Diamond Size(Baguette),Diamond Count(Baguette),Diamond Size(Marquise),Diamond Count(Marquise),Diamond Size(Pear),Diamond Count(Pear),Diamond Size(Heart),Diamond Count(Heart),Length,Width,Diamond Wt,Volume,Casting wt.,Reduction,18KT wt.(Gm)
ER-17001,1.4,48.0,,,,,,,,,16.62,1.85,0.49,236.99,3.7207429999999997,0.7441485999999999,2.9765943999999998
,,,,,,,,,,,,,,,,,
ER-17002,2.1,28.0,,,,,,,,,15.28,2.3,0.97,259.9,4.080429999999999,0.8160859999999999,3.264343999999999
,,,,,,,,,,,,,,,,,
ER-17003,0.9,48.0,,,,,,,,,18.12,5.3,0.4,367.1,5.76347,1.152694,4.6107759999999995
,1.6,20.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17004,2.0,26.0,,,,,,,,,14.05,2.28,0.78,221.15,3.4720549999999997,0.694411,2.7776439999999996
,,,,,,,,,,,,,,,,,
ER-17005,1.55,30.0,,,,,,,,,17.64,2.01,0.4,362.12,5.685283999999999,1.1370567999999999,4.5482271999999995
,,,,,,,,,,,,,,,,,
ER-17006,2.1,28.0,,,,,,,,,16.85,2.18,0.97,251.0,3.9406999999999996,0.78814,3.15256
,,,,,,,,,,,,,,,,,
ER-17007,1.3,16.0,,,,,,,,,10.94,4.33,0.31,246.85,3.875545,0.775109,3.1004359999999997
,1.2,28.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17008,2.3,10.0,,,,,,,,,15.0,2.21,0.46,245.73,3.8579609999999995,0.7715922,3.0863688
,,,,,,,,,,,,,,,,,
ER-17009,1.0,56.0,,,,,,,,,17.21,3.06,0.21,345.72,5.427804,1.0855608,4.3422432
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17010,,,,,4 * 2,8,,,,,14.81,4.82,0.42,279.01,4.380457,0.8760914,3.5043656
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17011,1.7,30.0,,,,,,,,,20.45,3.15,0.55,358.75,5.632375,1.126475,4.5059
,,,,,,,,,,,,,,,,,
ER-17012,1.6,54.0,,,,,,,,,12.92,6.06,0.83,529.22,8.308754,1.6617508,6.6470032
,,,,,,,,,,,,,,,,,
ER-17013,1.2,48.0,2.25 * 1.25,24,,,,,,,14.15,5.26,0.88,445.69,6.997332999999999,1.3994666,5.597866399999999
,,,,,,,,,,,,,,,,,
ER-17014,1.1,38.0,,,,,,,,,13.89,5.11,0.32,402.34,6.316737999999999,1.2633476,5.0533904
,1.2,20.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17015,1.7,20.0,,,,,,,,,14.3,4.87,1.2,509.87,8.004959,1.6009918,6.403967199999999
,1.6,54.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17016,2.35,6.0,,,,,,,,,17.82,3.37,0.29,196.31,3.082067,0.6164134,2.4656536
,,,,,,,,,,,,,,,,,
ER-17017,1.5,66.0,,,,,,,,,29.51,2.0,0.83,451.5,7.08855,1.41771,5.67084
,,,,,,,,,,,,,,,,,
ER-17018,1.0,50.0,,,,,,,,,21.81,4.04,0.19,462.65,7.263604999999999,1.452721,5.810884
,,,,,,,,,,,,,,,,,
ER-17019,1.3,28.0,3 * 1.6,2,,,,,,,17.54,2.25,0.33,214.26,3.3638819999999994,0.6727763999999999,2.6911055999999993
,,,,,,,,,,,,,,,,,
ER-17020,0.9,28.0,,,,,,,,,16.94,7.07,0.38,632.29,9.926953,1.9853906,7.9415624
,1.2,28.0,,,,,,,,,,,,,,,
,1.3,14.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17021,1.1,16.0,,,,,,,,,17.23,3.58,0.4,333.54,5.236578,1.0473156,4.1892624
,1.2,12.0,,,,,,,,,,,,,,,
,1.3,20.0,,,,,,,,,,,,,,,
,1.4,8.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17022,1.3,74.0,,,,,,,,,17.16,4.0,0.61,390.8,6.13556,1.227112,4.908448
,,,,,,,,,,,,,,,,,
ER-17023,,,,,,,4 * 3,10.0,,,16.54,3.9,1.33,460.17,7.224669,1.4449338,5.779735199999999
,,,,,,,,,,,,,,,,,
ER-17024,,,3 * 1.4,10,,,,,,,13.8,2.0,0.43,242.86,3.812902,0.7625804,3.0503215999999997
,,,,,,,,,,,,,,,,,
ER-17025,1.1,80.0,,,,,,,,,26.71,27.83,1.65,654.97,10.283028999999999,2.0566058,8.2264232
,1.7,68.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17026,0.95,96.0,,,,,,,,,19.7,7.48,0.3,209.33,3.2864809999999998,0.6572962,2.6291848
,,,,,,,,,,,,,,,,,
ER-17027,2.3,10.0,,,,,,,,,10.68,2.48,0.46,245.14,3.8486979999999993,0.7697395999999999,3.0789583999999994
,,,,,,,,,,,,,,,,,
ER-17028,1.6,6.0,,,,,,,,,14.59,3.16,0.19,319.14,5.010497999999999,1.0020996,4.008398399999999
,1.5,8.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17029,0.9,40.0,,,,,,,,,20.34,31.47,0.33,683.2,10.72624,2.145248,8.580992
,1.0,40.0,,,,,,,,,,,,,,,
,1.2,10.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17030,2.1,14.0,,,,,,,,,10.33,10.33,0.49,190.5,2.9908499999999996,0.59817,2.3926799999999995
,,,,,,,,,,,,,,,,,
ER-17031,1.7,2.0,,,,,,,,,14.35,11.64,0.46,315.3,4.950209999999999,0.9900419999999999,3.9601679999999995
,1.6,12.0,,,,,,,,,,,,,,,
,1.2,36.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17032,1.4,22.0,,,,,,,,,18.52,2.52,0.23,193.64,3.0401479999999994,0.6080296,2.4321183999999993
,,,,,,,,,,,,,,,,,
ER-17033,1.4,22.0,,,,,,,,,34.1,18.88,0.64,465.64,7.310547999999999,1.4621095999999998,5.848438399999999
,1.2,64.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17034,1.5,6.0,,,,,,,,,30.76,3.15,0.22,482.8,7.57996,1.515992,6.063968
,1.1,24.0,,,,,,,,,,,,,,,
,1.0,8.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17035,1.8,2.0,,,,,,,,,29.67,10.83,0.8,417.64,6.556947999999999,1.3113896,5.245558399999999
,1.6,22.0,,,,,,,,,,,,,,,
,1.4,16.0,,,,,,,,,,,,,,,
,1.25,32.0,,,,,,,,,,,,,,,
,1.35,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17036,1.5,6.0,,,,,,,,,30.24,,0.76,816.28,12.815596,2.5631192,10.2524768
,1.4,24.0,,,,,,,,,,,,,,,
,1.3,20.0,,,,,,,,,,,,,,,
,1.2,18.0,,,,,,,,,,,,,,,
,1.1,18.0,,,,,,,,,,,,,,,
,1.0,18.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17037,3.4,2.0,,2.75 * 1.75,8,,,,,,25.75,12.0,1.78,605.95,9.513415,1.9026830000000001,7.6107320000000005
,2.0,8.0,,2.4 * 1.5,16,,,,,,,,,,,,
,1.3,22.0,,,,,,,,,,,,,,,
,1.2,24.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17038,1.7,18.0,,,,,,,,,36.91,14.99,1.3,689.59,10.826563,2.1653126,8.6612504
,1.6,12.0,,,,,,,,,,,,,,,
,1.5,14.0,,,,,,,,,,,,,,,
,1.4,8.0,,,,,,,,,,,,,,,
,1.3,42.0,,,,,,,,,,,,,,,
,1.2,12.0,,,,,,,,,,,,,,,
,1.1,20.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17039,3.0,2.0,,,,,,,,,24.94,10.3,0.97,454.32,7.132823999999999,1.4265648,5.7062592
,2.2,16.0,,,,,,,,,,,,,,,
,1.4,2.0,,,,,,,,,,,,,,,
,1.3,6.0,,,,,,,,,,,,,,,
,1.2,6.0,,,,,,,,,,,,,,,
,1.1,2.0,,,,,,,,,,,,,,,
,1.05,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17040,3.3,2.0,,,,,,,,,27.04,11.43,1.36,399.86,6.277801999999999,1.2555604,5.022241599999999
,3.0,2.0,,,,,,,,,,,,,,,
,2.5,2.0,,,,,,,,,,,,,,,
,2.0,6.0,,,,,,,,,,,,,,,
,1.9,8.0,,,,,,,,,,,,,,,
,1.8,4.0,,,,,,,,,,,,,,,
,1.7,8.0,,,,,,,,,,,,,,,
,1.5,6.0,,,,,,,,,,,,,,,
,1.4,4.0,,,,,,,,,,,,,,,
,1.3,4.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17041,2.5,4.0,,,,,,,,,36.4,11.64,1.0,531.48,8.344236,1.6688472,6.6753888
,2.2,2.0,,,,,,,,,,,,,,,
,2.0,2.0,,,,,,,,,,,,,,,
,1.7,2.0,,,,,,,,,,,,,,,
,1.6,4.0,,,,,,,,,,,,,,,
,1.4,46.0,,,,,,,,,,,,,,,
,1.3,4.0,,,,,,,,,,,,,,,
,1.2,4.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17042,1.4,2.0,,,,,,,,,37.68,5.64,0.37,185.31,2.9093669999999996,0.5818734,2.3274935999999995
,1.3,2.0,,,,,,,,,,,,,,,
,1.2,2.0,,,,,,,,,,,,,,,
,1.1,2.0,,,,,,,,,,,,,,,
,1.0,80.0,,,,,,,,,,,,,,,
,0.9,4.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17043,4.0,2.0,,,,,,,,,25.19,10.47,1.25,310.97,4.882229,0.9764458,3.9057831999999997
,2.2,16.0,,,,,,,,,,,,,,,
,1.4,2.0,,,,,,,,,,,,,,,
,1.3,6.0,,,,,,,,,,,,,,,
,1.2,6.0,,,,,,,,,,,,,,,
,1.1,2.0,,,,,,,,,,,,,,,
,1.05,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17044,2.2,2.0,,,,,,,,,26.44,25.0,0.62,432.72,6.793704,1.3587408,5.4349632
,2.0,10.0,,,,,,,,,,,,,,,
,1.7,6.0,,,,,,,,,,,,,,,
,1.5,10.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17045,1.4,40.0,,,,,,,,,28.22,11.73,0.41,224.65,3.527005,0.7054010000000001,2.821604
,,,,,,,,,,,,,,,,,
ER-17046,1.2,30.0,,,,,,,4.2,2.0,20.96,8.65,0.73,259.82,4.079173999999999,0.8158347999999999,3.2633391999999994
,1.1,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17047,2.0,4.0,,,,,,,,,14.49,,0.12,120.04,1.884628,0.3769256,1.5077023999999999
,,,,,,,,,,,,,,,,,
ER-17048,,,,,,5.3 * 2.7,6,,,,17.63,8.37,0.75,213.45,3.3511649999999995,0.670233,2.6809319999999994
,,,,,,,,,,,,,,,,,
ER-17049,1.0,2.0,,,,,,,,,17.96,7.09,0.48,450.01,7.065156999999999,1.4130314,5.6521256
,1.1,4.0,,,,,,,,,,,,,,,
,1.2,18.0,,,,,,,,,,,,,,,
,1.3,38.0,,,,,,,,,,,,,,,
,1.4,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17050,3.1,2.0,,,,,7 * 5,2.0,,,21.04,14.36,2.38,254.35,3.9932949999999994,0.7986589999999999,3.1946359999999996
,2.7,4.0,,,,,,,,,,,,,,,
,2.5,4.0,,,,,,,,,,,,,,,
,2.3,4.0,,,,,,,,,,,,,,,
,2.2,4.0,,,,,,,,,,,,,,,
